ServiceNo,Operator,Category,OriginCode,DestinationCode
93,SBST,TRUNK,82009,14009
94,SBST,TRUNK,82009,82009
94A,SBST,TRUNK,82009,73019
95,SBST,TRUNK,16009,16009
95B,SBST,TRUNK,16009,11361
99,SBST,TRUNK,17009,24009
99,SBST,TRUNK,24009,17009
993,SBST,TRUNK,28009,28009
9A,SBST,TRUNK,84009,98011
9B,SBST,TRUNK,96169,95051
110,SMRT,TRUNK,67759,67759
172,SMRT,TRUNK,44009,22009
172,SMRT,TRUNK,22009,44009
176,SMRT,TRUNK,45009,10009
176,SMRT,TRUNK,10009,45009
178,SMRT,TRUNK,46009,22009
178,SMRT,TRUNK,22009,46009
178A,SMRT,TRUNK,46009,45139
179,SMRT,TRUNK,22009,22009
179A,SMRT,TRUNK,22009,22009
180,SMRT,TRUNK,22009,22009
180A,SMRT,TRUNK,22009,44259
181,SMRT,TRUNK,22009,22009
181M,SMRT,TRUNK,22009,22009
182,SMRT,TRUNK,24009,24009
182M,SMRT,TRUNK,24009,24009
184,SMRT,TRUNK,44989,44989
185,SMRT,TRUNK,22609,11379
185,SMRT,TRUNK,11379,22609
187,SMRT,TRUNK,46009,22009
187,SMRT,TRUNK,22009,46009
188,SMRT,TRUNK,44009,14009
188,SMRT,TRUNK,14009,44009
188e,SMRT,EXPRESS,44009,14009
190,SMRT,TRUNK,44009,10499
190,SMRT,TRUNK,10499,44009
190A,SMRT,TRUNK,44009,08057
192,SMRT,TRUNK,22009,25009
192,SMRT,TRUNK,25009,22009
193,SMRT,TRUNK,22009,25009
193,SMRT,TRUNK,25009,22009
194,SMRT,TRUNK,22009,22009
199,SMRT,TRUNK,22009,22009
